"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",85084618,85085166,549,"*","ZF27_neurog2_peak_32",77,".",7.77984,11.9797,7.74668,283,"3' UTR",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",24283,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85085583,85085882,300,"*","ZF27_neurog2_peak_33",27,".",4.95081,6.54091,2.73004,39,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",23567,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85089372,85090430,1059,"*","ZF27_neurog2_peak_34",63,".",7.07258,10.5539,6.39365,112,"Exon (ENSMUST00000161724.7/381287, exon 6 of 8)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",19019,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85092315,85092777,463,"*","ZF27_neurog2_peak_35",27,".",4.95081,6.54091,2.73004,111,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",16672,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85094481,85094798,318,"*","ZF27_neurog2_peak_36",63,".",7.07258,10.5539,6.39365,233,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",14651,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85095594,85095872,279,"*","ZF27_neurog2_peak_37",38,".",5.65807,7.82968,3.87359,104,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",13577,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85098798,85099312,515,"*","ZF27_neurog2_peak_38",50,".",6.36532,9.16908,5.09929,38,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",10137,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85101883,85102157,275,"*","ZF27_neurog2_peak_39",38,".",5.65807,7.82968,3.87359,101,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",7292,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85102734,85103352,619,"*","ZF27_neurog2_peak_40",27,".",4.95081,6.54091,2.73004,130,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",6097,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85103998,85104486,489,"*","ZF27_neurog2_peak_41",38,".",5.65807,7.82968,3.87359,96,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",4963,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85105000,85106213,1214,"*","ZF27_neurog2_peak_42",50,".",6.36532,9.16908,5.09929,913,"Exon (ENSMUST00000162353.7/ENSMUST00000162353.7, exon 1 of 4)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",3236,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85109847,85110369,523,"*","ZF27_neurog2_peak_43",38,".",5.65807,7.82968,3.87359,191,"Promoter (<=1kb)",1,85088407,85109853,21447,2,"381287","ENSMUST00000160792.7",0,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85160438,85160972,535,"*","ZF27_neurog2_peak_44",50,".",6.36532,9.16908,5.09929,277,"Exon (ENSMUST00000160802.7/ENSMUST00000160802.7, exon 2 of 6)",1,85199613,85203171,3559,1,"665378","ENSMUST00000160058.7",-38641,"ENSMUSG00000079457","Gm7609","predicted pseudogene 7609"
"chr1",85164362,85165170,809,"*","ZF27_neurog2_peak_45",106,".",9.19436,14.9412,10.6014,577,"Exon (ENSMUST00000160802.7/ENSMUST00000160802.7, exon 4 of 6)",1,85199613,85203171,3559,1,"665378","ENSMUST00000160058.7",-34443,"ENSMUSG00000079457","Gm7609","predicted pseudogene 7609"
"chr1",85171144,85171509,366,"*","ZF27_neurog2_peak_46",50,".",6.36532,9.16908,5.09929,116,"Exon (ENSMUST00000160802.7/ENSMUST00000160802.7, exon 6 of 6)",1,85199613,85203171,3559,1,"665378","ENSMUST00000160058.7",-28104,"ENSMUSG00000079457","Gm7609","predicted pseudogene 7609"
"chr1",85182864,85183250,387,"*","ZF27_neurog2_peak_47",38,".",5.65807,7.82968,3.87359,243,"Intron (ENSMUST00000162896.1/ENSMUST00000162896.1, intron 7 of 12)",1,85199613,85203171,3559,1,"665378","ENSMUST00000160058.7",-16363,"ENSMUSG00000079457","Gm7609","predicted pseudogene 7609"
"chr1",85185877,85186264,388,"*","ZF27_neurog2_peak_48",38,".",5.65807,7.82968,3.87359,281,"Intron (ENSMUST00000162896.1/ENSMUST00000162896.1, intron 8 of 12)",1,85199613,85203171,3559,1,"665378","ENSMUST00000160058.7",-13349,"ENSMUSG00000079457","Gm7609","predicted pseudogene 7609"
"chr1",85216275,85216526,252,"*","ZF27_neurog2_peak_49",16,".",4.24355,5.30939,1.68841,9,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85199708,85213786,14079,1,"665378","ENSMUST00000113402.3",16567,"ENSMUSG00000079457","Gm7609","predicted pseudogene 7609"
"chr1",85241905,85242226,322,"*","ZF27_neurog2_peak_50",27,".",4.95081,6.54091,2.73004,122,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85241286,85254548,13263,2,"620078","ENSMUST00000161685.7",12322,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85244890,85245354,465,"*","ZF27_neurog2_peak_51",27,".",4.95081,6.54091,2.73004,90,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85241286,85254548,13263,2,"620078","ENSMUST00000161685.7",9194,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85245908,85246320,413,"*","ZF27_neurog2_peak_52",38,".",5.65807,7.82968,3.87359,63,"Exon (ENSMUST00000159114.1/ENSMUST00000159114.1, exon 1 of 3)",1,85241286,85254548,13263,2,"620078","ENSMUST00000161685.7",8228,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85252733,85253486,754,"*","ZF27_neurog2_peak_53",27,".",4.95081,6.54091,2.73004,244,"Promoter (1-2kb)",1,85241286,85254548,13263,2,"620078","ENSMUST00000161685.7",1062,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85254892,85255436,545,"*","ZF27_neurog2_peak_54",91,".",8.4871,13.4432,9.14962,297,"Promoter (<=1kb)",1,85241286,85254548,13263,2,"620078","ENSMUST00000161685.7",-344,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85257199,85257515,317,"*","ZF27_neurog2_peak_55",50,".",6.36532,9.16908,5.09929,166,"Promoter (2-3kb)",1,85241286,85254548,13263,2,"620078","ENSMUST00000161685.7",-2651,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85260169,85260491,323,"*","ZF27_neurog2_peak_56",50,".",6.36532,9.16908,5.09929,49,"Intron (ENSMUST00000161267.7/620078, intron 1 of 2)",1,85241286,85254548,13263,2,"620078","ENSMUST00000161685.7",-5621,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85261430,85262227,798,"*","ZF27_neurog2_peak_57",63,".",7.07258,10.5539,6.39365,607,"5' UTR",1,85241286,85254548,13263,2,"620078","ENSMUST00000161685.7",-6882,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85263239,85263525,287,"*","ZF27_neurog2_peak_58",27,".",4.95081,6.54091,2.73004,21,"Intron (ENSMUST00000161267.7/620078, intron 1 of 2)",1,85245640,85270143,24504,2,"620078","ENSMUST00000159582.7",6618,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85263912,85264546,635,"*","ZF27_neurog2_peak_59",50,".",6.36532,9.16908,5.09929,66,"Intron (ENSMUST00000161267.7/620078, intron 1 of 2)",1,85245640,85270143,24504,2,"620078","ENSMUST00000159582.7",5597,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85269698,85270394,697,"*","ZF27_neurog2_peak_60",27,".",4.95081,6.54091,2.73004,224,"Promoter (<=1kb)",1,85112267,85270178,157912,2,"620078","ENSMUST00000161267.7",0,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85275926,85276831,906,"*","ZF27_neurog2_peak_61",50,".",6.36532,9.16908,5.09929,394,"Exon (ENSMUST00000163068.7/ENSMUST00000163068.7, exon 4 of 4)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-5360,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85278448,85279086,639,"*","ZF27_neurog2_peak_62",63,".",7.07258,10.5539,6.39365,242,"Intron (ENSMUST00000159695.1/ENSMUST00000159695.1, intron 2 of 6)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-7882,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85279669,85280178,510,"*","ZF27_neurog2_peak_63",27,".",4.95081,6.54091,2.73004,476,"Exon (ENSMUST00000159695.1/ENSMUST00000159695.1, exon 3 of 7)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-9103,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85280578,85281120,543,"*","ZF27_neurog2_peak_64",50,".",6.36532,9.16908,5.09929,106,"Intron (ENSMUST00000159695.1/ENSMUST00000159695.1, intron 3 of 6)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-10012,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85284257,85284573,317,"*","ZF27_neurog2_peak_65",16,".",4.24355,5.30939,1.68841,55,"Intron (ENSMUST00000159695.1/ENSMUST00000159695.1, intron 6 of 6)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-13691,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85292063,85292410,348,"*","ZF27_neurog2_peak_66",38,".",5.65807,7.82968,3.87359,154,"Intron (ENSMUST00000166777.3/ENSMUST00000166777.3, intron 3 of 4)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-21497,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85294869,85295126,258,"*","ZF27_neurog2_peak_67",27,".",4.95081,6.54091,2.73004,32,"Intron (ENSMUST00000166777.3/ENSMUST00000166777.3, intron 3 of 4)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-24303,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85296586,85296889,304,"*","ZF27_neurog2_peak_68",63,".",7.07258,10.5539,6.39365,43,"Intron (ENSMUST00000166777.3/ENSMUST00000166777.3, intron 3 of 4)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-26020,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85299042,85299308,267,"*","ZF27_neurog2_peak_69",38,".",5.65807,7.82968,3.87359,80,"Intron (ENSMUST00000166777.3/ENSMUST00000166777.3, intron 3 of 4)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-28476,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85314097,85314492,396,"*","ZF27_neurog2_peak_70",50,".",6.36532,9.16908,5.09929,202,"Exon (ENSMUST00000166777.3/ENSMUST00000166777.3, exon 3 of 5)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-43531,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85317991,85318338,348,"*","ZF27_neurog2_peak_71",50,".",6.36532,9.16908,5.09929,200,"Intron (ENSMUST00000166777.3/ENSMUST00000166777.3, intron 1 of 4)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-47425,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85327206,85327519,314,"*","ZF27_neurog2_peak_72",27,".",4.95081,6.54091,2.73004,255,"Exon (ENSMUST00000166777.3/ENSMUST00000166777.3, exon 1 of 5)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-56640,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85334141,85334420,280,"*","ZF27_neurog2_peak_73",27,".",4.95081,6.54091,2.73004,115,"Intron (ENSMUST00000161923.1/ENSMUST00000161923.1, intron 1 of 1)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-63575,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85341001,85341482,482,"*","ZF27_neurog2_peak_74",27,".",4.95081,6.54091,2.73004,139,"Exon (ENSMUST00000161923.1/ENSMUST00000161923.1, exon 2 of 2)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-70435,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85342584,85343129,546,"*","ZF27_neurog2_peak_75",38,".",5.65807,7.82968,3.87359,491,"Exon (ENSMUST00000161923.1/ENSMUST00000161923.1, exon 2 of 2)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-72018,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85343414,85343731,318,"*","ZF27_neurog2_peak_76",38,".",5.65807,7.82968,3.87359,103,"Distal Intergenic",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-72848,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85451868,85452132,265,"*","ZF27_neurog2_peak_77",38,".",5.65807,7.82968,3.87359,181,"Distal Intergenic",1,85579357,85584278,4922,2,"109032","ENSMUST00000186740.1",132146,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85455277,85455531,255,"*","ZF27_neurog2_peak_78",27,".",4.95081,6.54091,2.73004,203,"Distal Intergenic",1,85579357,85584278,4922,2,"109032","ENSMUST00000186740.1",128747,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85487871,85488271,401,"*","ZF27_neurog2_peak_79",38,".",5.65807,7.82968,3.87359,214,"Distal Intergenic",1,85579357,85584278,4922,2,"109032","ENSMUST00000186740.1",96007,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85489633,85490156,524,"*","ZF27_neurog2_peak_80",38,".",5.65807,7.82968,3.87359,288,"Distal Intergenic",1,85579357,85584278,4922,2,"109032","ENSMUST00000186740.1",94122,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85491210,85491936,727,"*","ZF27_neurog2_peak_81",50,".",6.36532,9.16908,5.09929,97,"Distal Intergenic",1,85579357,85584278,4922,2,"109032","ENSMUST00000186740.1",92342,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85492208,85492538,331,"*","ZF27_neurog2_peak_82",63,".",7.07258,10.5539,6.39365,66,"Distal Intergenic",1,85579357,85584278,4922,2,"109032","ENSMUST00000186740.1",91740,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85494530,85495633,1104,"*","ZF27_neurog2_peak_83",27,".",4.95081,6.54091,2.73004,714,"Distal Intergenic",1,85579357,85584278,4922,2,"109032","ENSMUST00000186740.1",88645,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85525986,85526244,259,"*","ZF27_neurog2_peak_84",16,".",4.24355,5.30939,1.68841,8,"Intron (ENSMUST00000161449.1/ENSMUST00000161449.1, intron 1 of 1)",1,85579357,85584278,4922,2,"109032","ENSMUST00000186740.1",58034,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85565412,85565696,285,"*","ZF27_neurog2_peak_85",16,".",4.24355,5.30939,1.68841,204,"Distal Intergenic",1,85579357,85584278,4922,2,"109032","ENSMUST00000186740.1",18582,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85583145,85583438,294,"*","ZF27_neurog2_peak_86",50,".",6.36532,9.16908,5.09929,239,"Promoter (<=1kb)",1,85579357,85584278,4922,2,"109032","ENSMUST00000186740.1",840,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85588628,85589223,596,"*","ZF27_neurog2_peak_87",77,".",7.77984,11.9797,7.74668,144,"Promoter (<=1kb)",1,85576899,85589191,12293,2,"109032","ENSMUST00000128339.7",0,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85590214,85590599,386,"*","ZF27_neurog2_peak_88",91,".",8.4871,13.4432,9.14962,83,"Promoter (1-2kb)",1,85576899,85589191,12293,2,"109032","ENSMUST00000128339.7",-1023,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85591749,85592664,916,"*","ZF27_neurog2_peak_89",50,".",6.36532,9.16908,5.09929,273,"Promoter (2-3kb)",1,85576899,85589191,12293,2,"109032","ENSMUST00000128339.7",-2558,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
"chr1",85594818,85595360,543,"*","ZF27_neurog2_peak_90",38,".",5.65807,7.82968,3.87359,298,"Exon (ENSMUST00000143363.7/109032, exon 3 of 3)",1,85576903,85598749,21847,2,"109032","ENSMUST00000131950.7",3389,"ENSMUSG00000070034","Sp110","Sp110 nuclear body protein"
