"seqnames","start","end","width","strand","V4.name","V5.score","V6.strand","V7.signalValue","V8.pValue","V9.qValue","V10.peak","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",34439200,34439926,727,"*","ZF11_Nfiabx_peak_27",592,".",22.7076,63.5658,59.241,451,"Promoter (<=1kb)",1,34439851,34449356,9506,1,"27993","ENSMUST00000027303.13",0,"ENSMUSG00000026127","Imp4","IMP4, U3 small nucleolar ribonucleoprotein"
"chr1",35973479,35973748,270,"*","ZF11_Nfiabx_peak_32",63,".",5.99823,9.72728,6.34853,380,"Distal Intergenic",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",-94652,"ENSMUSG00000045216","Hs6st1","heparan sulfate 6-O-sulfotransferase 1"
"chr1",36309358,36309861,504,"*","ZF11_Nfiabx_peak_33",83,".",6.85512,11.8621,8.35364,318,"Promoter (1-2kb)",1,36307779,36316578,8800,1,"214855","ENSMUST00000140218.1",1579,"ENSMUSG00000037447","Arid5a","AT-rich interaction domain 5A"
"chr1",36556789,36557501,713,"*","ZF11_Nfiabx_peak_35",83,".",6.85512,11.8621,8.35364,169,"Promoter (<=1kb)",1,36548642,36557526,8885,2,"20353","ENSMUST00000191642.5",25,"ENSMUSG00000026121","Sema4c","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C"
"chr1",36939623,36939925,303,"*","ZF11_Nfiabx_peak_36",225,".",11.9965,26.5385,22.5691,198,"Promoter (<=1kb)",1,36792194,36939822,147629,2,"56030","ENSMUST00000194563.5",0,"ENSMUSG00000026116","Tmem131","transmembrane protein 131"
"chr1",37956612,37957247,636,"*","ZF11_Nfiabx_peak_39",320,".",14.9956,36.1965,32.0834,418,"Promoter (<=1kb)",1,37946736,37957759,11024,2,"69541","ENSMUST00000027254.9",512,"ENSMUSG00000026085","Lyg1","lysozyme G-like 1"
"chr1",37997006,37997990,985,"*","ZF11_Nfiabx_peak_41",94,".",7.28356,12.9693,9.40496,130,"Promoter (<=1kb)",1,37985189,37997315,12127,2,"98258","ENSMUST00000162031.7",0,"ENSMUSG00000058407","Txndc9","thioredoxin domain containing 9"
"chr1",39086032,39086543,512,"*","ZF11_Nfiabx_peak_42",73,".",6.42667,10.7808,7.3344,143,"Distal Intergenic",1,38995160,38996646,1487,1,"68833","ENSMUST00000193073.1",90872,"ENSMUSG00000026078","Pdcl3","phosducin-like 3"
"chr1",39281641,39281832,192,"*","ZF11_Nfiabx_peak_43",36,".",4.71289,6.75304,3.61141,198,"Intron (ENSMUST00000173050.7/18143, intron 2 of 2)",1,39341555,39345466,3912,1,"18143","ENSMUST00000172825.1",-59723,"ENSMUSG00000026077","Npas2","neuronal PAS domain protein 2"
"chr1",42667732,42668117,386,"*","ZF11_Nfiabx_peak_49",94,".",7.28356,12.9693,9.40496,227,"Promoter (<=1kb)",1,42648201,42667672,19472,2,"66297","ENSMUST00000176052.7",-60,NA,"Pantr1","POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1"
"chr1",42851293,42851464,172,"*","ZF11_Nfiabx_peak_54",27,".",4.28445,5.832,2.78434,209,"Promoter (<=1kb)",1,42851285,42881931,30647,1,"69527","ENSMUST00000188174.6",8,"ENSMUSG00000060679","Mrps9","mitochondrial ribosomal protein S9"
"chr1",43694650,43695286,637,"*","ZF11_Nfiabx_peak_55",252,".",12.8533,29.229,25.213,366,"Distal Intergenic",1,43730602,43742578,11977,1,"78896","ENSMUST00000027217.8",-35316,"ENSMUSG00000026051","Ecrg4","ECRG4 augurin precursor"
"chr1",43778348,43778710,363,"*","ZF11_Nfiabx_peak_57",73,".",6.42667,10.7808,7.3344,155,"Intron (ENSMUST00000126008.7/67883, intron 7 of 14)",1,43730602,43742578,11977,1,"78896","ENSMUST00000027217.8",47746,"ENSMUSG00000026051","Ecrg4","ECRG4 augurin precursor"
"chr1",45795159,45795413,255,"*","ZF11_Nfiabx_peak_63",162,".",9.85423,20.0883,16.2653,95,"Promoter (<=1kb)",1,45795166,45823619,28454,1,"73674","ENSMUST00000027139.14",0,"ENSMUSG00000025995","Wdr75","WD repeat domain 75"
"chr1",45945462,45945685,224,"*","ZF11_Nfiabx_peak_64",162,".",9.85423,20.0883,16.2653,177,"Distal Intergenic",1,45921217,45926519,5303,2,"53945","ENSMUST00000187420.6",-18943,"ENSMUSG00000025993","Slc40a1","solute carrier family 40 (iron-regulated transporter), member 1"
"chr1",51607325,51607626,302,"*","ZF11_Nfiabx_peak_68",162,".",9.85423,20.0883,16.2653,151,"Distal Intergenic",1,51509505,51596718,87214,2,"100045066","ENSMUST00000189410.1",-10607,"ENSMUSG00000099413","Gm17767","predicted gene, 17767"
"chr1",52233100,52233553,454,"*","ZF11_Nfiabx_peak_69",27,".",4.28445,5.832,2.78434,22,"Promoter (<=1kb)",1,52163448,52233223,69776,2,"14660","ENSMUST00000114513.8",0,"ENSMUSG00000026103","Gls","glutaminase"
"chr1",52817514,52817970,457,"*","ZF11_Nfiabx_peak_70",94,".",7.28356,12.9693,9.40496,384,"Promoter (<=1kb)",1,52785427,52817688,32262,2,"16329","ENSMUST00000027271.8",0,"ENSMUSG00000026102","Inpp1","inositol polyphosphate-1-phosphatase"
"chr1",55087647,55088537,891,"*","ZF11_Nfiabx_peak_73",162,".",9.85423,20.0883,16.2653,289,"Promoter (<=1kb)",1,55077835,55088024,10190,2,"15510","ENSMUST00000027123.14",0,"ENSMUSG00000025980","Hspd1","heat shock protein 1 (chaperonin)"
"chr1",55160751,55161590,840,"*","ZF11_Nfiabx_peak_74",73,".",6.42667,10.7808,7.3344,369,"Exon (ENSMUST00000161440.1/ENSMUST00000161440.1, exon 1 of 1)",1,55131326,55145383,14058,1,"19070","ENSMUST00000159743.1",29425,"ENSMUSG00000025979","Mob4","MOB family member 4, phocein"
"chr1",55618521,55619101,581,"*","ZF11_Nfiabx_peak_76",104,".",7.71201,14.1013,10.4844,473,"Intron (ENSMUST00000042986.9/227120, intron 1 of 5)",1,55702025,55735227,33203,1,"227120","ENSMUST00000187059.1",-82924,"ENSMUSG00000038349","Plcl1","phospholipase C-like 1"
"chr1",58029506,58031032,1527,"*","ZF11_Nfiabx_peak_77",150,".",9.42579,18.8507,15.0624,317,"Promoter (<=1kb)",1,58029931,58106413,76483,1,"11761","ENSMUST00000001027.6",0,"ENSMUSG00000063558","Aox1","aldehyde oxidase 1"
"chr1",58445264,58445513,250,"*","ZF11_Nfiabx_peak_78",63,".",5.99823,9.72728,6.34853,185,"Promoter (<=1kb)",1,58445267,58481816,36550,1,"65102","ENSMUST00000114337.7",0,"ENSMUSG00000026036","Nif3l1","Ngg1 interacting factor 3-like 1 (S. pombe)"
"chr1",59516127,59516628,502,"*","ZF11_Nfiabx_peak_81",73,".",6.42667,10.7808,7.3344,130,"Promoter (<=1kb)",1,59516264,59634509,118246,1,"381260","ENSMUST00000114243.7",0,"ENSMUSG00000047361","Gm973","predicted gene 973"
"chr1",63763402,63764056,655,"*","ZF11_Nfiabx_peak_88",83,".",6.85512,11.8621,8.35364,617,"Intron (ENSMUST00000027102.1/74426, intron 2 of 2)",1,63754907,63769267,14361,2,"74426","ENSMUST00000027102.1",5211,"ENSMUSG00000025961","4933402D24Rik","RIKEN cDNA 4933402D24 gene"
"chr1",63934792,63935001,210,"*","ZF11_Nfiabx_peak_89",53,".",5.56978,8.70334,5.39692,170,"Intron (ENSMUST00000120486.2/ENSMUST00000120486.2, intron 8 of 8)",1,63964727,63968999,4273,1,"433315","ENSMUST00000133244.1",-29726,"ENSMUSG00000044689","Gm13749","predicted gene 13749"
"chr1",64121177,64122320,1144,"*","ZF11_Nfiabx_peak_90",138,".",8.99734,17.6322,13.8819,971,"Promoter (<=1kb)",1,64029447,64121491,92045,2,"93691","ENSMUST00000114086.7",0,"ENSMUSG00000025959","Klf7","Kruppel-like transcription factor 7 (ubiquitous)"
"chr1",64532833,64533111,279,"*","ZF11_Nfiabx_peak_92",83,".",6.85512,11.8621,8.35364,217,"Promoter (<=1kb)",1,64532859,64597467,64609,1,"12912","ENSMUST00000190876.6",0,"ENSMUSG00000025958","Creb1","cAMP responsive element binding protein 1"
"chr1",64975491,64975793,303,"*","ZF11_Nfiabx_peak_94",20,".",3.856,4.95136,2.00956,25,"Distal Intergenic",1,64789121,64956824,167704,2,"241075","ENSMUST00000097713.1",-18667,"ENSMUSG00000051344","Plekhm3","pleckstrin homology domain containing, family M, member 3"
"chr1",66174896,66175225,330,"*","ZF11_Nfiabx_peak_97",53,".",5.56978,8.70334,5.39692,276,"Promoter (<=1kb)",1,66175273,66380617,205345,1,"17756","ENSMUST00000156636.8",-48,"ENSMUSG00000015222","Map2","microtubule-associated protein 2"
"chr1",66227099,66227374,276,"*","ZF11_Nfiabx_peak_98",44,".",5.14134,7.71111,4.48386,204,"Intron (ENSMUST00000156636.8/17756, intron 1 of 4)",1,66251647,66442581,190935,1,"17756","ENSMUST00000114018.9",-24273,"ENSMUSG00000015222","Map2","microtubule-associated protein 2"
"chr1",66816821,66817594,774,"*","ZF11_Nfiabx_peak_99",560,".",21.8507,60.3754,56.068,401,"Promoter (<=1kb)",1,66719363,66817546,98184,2,"68691","ENSMUST00000068168.9",0,"ENSMUSG00000026004","Kansl1l","KAT8 regulatory NSL complex subunit 1-like"
"chr1",72739392,72740145,754,"*","ZF11_Nfiabx_peak_102",63,".",5.99823,9.72728,6.34853,330,"Distal Intergenic",1,72711781,72712570,790,1,"19981","ENSMUST00000211963.1",27611,"ENSMUSG00000046330","Rpl37a","ribosomal protein L37a"
"chr1",72751196,72751697,502,"*","ZF11_Nfiabx_peak_103",53,".",5.56978,8.70334,5.39692,286,"Distal Intergenic",1,72711781,72712570,790,1,"19981","ENSMUST00000211963.1",39415,"ENSMUSG00000046330","Rpl37a","ribosomal protein L37a"
"chr1",74284538,74285184,647,"*","ZF11_Nfiabx_peak_106",187,".",10.7111,22.6181,18.732,460,"Promoter (<=1kb)",1,74279840,74284738,4899,2,"227290","ENSMUST00000006462.13",0,"ENSMUSG00000006299","Aamp","angio-associated migratory protein"
"chr1",74295447,74296215,769,"*","ZF11_Nfiabx_peak_107",150,".",9.42579,18.8507,15.0624,321,"Promoter (<=1kb)",1,74288251,74295695,7445,2,"69660","ENSMUST00000152603.7",0,"ENSMUSG00000006301","Tmbim1","transmembrane BAX inhibitor motif containing 1"
"chr1",74332228,74332868,641,"*","ZF11_Nfiabx_peak_108",73,".",6.42667,10.7808,7.3344,303,"Promoter (<=1kb)",1,74332610,74353686,21077,1,"56695","ENSMUST00000087225.5",0,"ENSMUSG00000026179","Pnkd","paroxysmal nonkinesiogenic dyskinesia"
"chr1",74340194,74340763,570,"*","ZF11_Nfiabx_peak_109",73,".",6.42667,10.7808,7.3344,197,"Intron (ENSMUST00000027370.12/56695, intron 2 of 9)",1,74332610,74353686,21077,1,"56695","ENSMUST00000087225.5",7584,"ENSMUSG00000026179","Pnkd","paroxysmal nonkinesiogenic dyskinesia"
"chr1",74386775,74387199,425,"*","ZF11_Nfiabx_peak_110",94,".",7.28356,12.9693,9.40496,138,"Distal Intergenic",1,74383600,74385197,1598,1,"18173","ENSMUST00000134189.1",3175,"ENSMUSG00000026177","Slc11a1","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1"
"chr1",74542568,74542813,246,"*","ZF11_Nfiabx_peak_112",53,".",5.56978,8.70334,5.39692,126,"Promoter (<=1kb)",1,74542888,74567794,24907,1,"18802","ENSMUST00000067916.12",-75,"ENSMUSG00000026173","Plcd4","phospholipase C, delta 4"
"chr1",74587461,74588347,887,"*","ZF11_Nfiabx_peak_113",53,".",5.56978,8.70334,5.39692,455,"Promoter (<=1kb)",1,74588289,74592124,3836,1,"66821","ENSMUST00000113733.9",0,"ENSMUSG00000026172","Bcs1l","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"
"chr1",75124719,75125206,488,"*","ZF11_Nfiabx_peak_115",104,".",7.71201,14.1013,10.4844,113,"Exon (ENSMUST00000188033.1/ENSMUST00000188033.1, exon 1 of 1)",1,75131713,75133546,1834,2,"22626","ENSMUST00000188080.1",8340,"ENSMUSG00000026205","Slc23a3","solute carrier family 23 (nucleobase transporters), member 3"
"chr1",75179755,75180302,548,"*","ZF11_Nfiabx_peak_117",73,".",6.42667,10.7808,7.3344,99,"Promoter (<=1kb)",1,75171719,75180286,8568,2,"74104","ENSMUST00000160081.7",0,"ENSMUSG00000026198","Abcb6","ATP-binding cassette, sub-family B member 6"
"chr1",75191751,75192051,301,"*","ZF11_Nfiabx_peak_118",127,".",8.5689,16.4338,12.7248,120,"Promoter (<=1kb)",1,75180860,75191926,11067,2,"245860","ENSMUST00000189702.6",0,"ENSMUSG00000033124","Atg9a","autophagy related 9A"
"chr1",75214723,75215449,727,"*","ZF11_Nfiabx_peak_119",150,".",9.42579,18.8507,15.0624,233,"Promoter (1-2kb)",1,75213061,75214031,971,1,"20872","ENSMUST00000156012.1",1662,"ENSMUSG00000026201","Stk16","serine/threonine kinase 16"
"chr1",75479244,75479432,189,"*","ZF11_Nfiabx_peak_121",104,".",7.71201,14.1013,10.4844,201,"Promoter (<=1kb)",1,75474569,75479271,4703,2,"74241","ENSMUST00000079205.13",0,"ENSMUSG00000032997","Chpf","chondroitin polymerizing factor"
"chr1",76942618,76943045,428,"*","ZF11_Nfiabx_peak_123",73,".",6.42667,10.7808,7.3344,260,"Intron (ENSMUST00000191156.1/ENSMUST00000191156.1, intron 1 of 1)",1,76509560,76509643,84,1,"102465175","ENSMUST00000183584.1",433058,"ENSMUSG00000098611","Mir6343","microRNA 6343"
"chr1",77514886,77515174,289,"*","ZF11_Nfiabx_peak_124",127,".",8.5689,16.4338,12.7248,138,"Promoter (<=1kb)",1,77367185,77515088,147904,2,"13838","ENSMUST00000027451.12",0,"ENSMUSG00000026235","Epha4","Eph receptor A4"
"chr1",78590457,78591131,675,"*","ZF11_Nfiabx_peak_126",36,".",4.71289,6.75304,3.61141,406,"Distal Intergenic",1,78537628,78538173,546,1,"68393","ENSMUST00000125458.1",52829,"ENSMUSG00000012187","Mogat1","monoacylglycerol O-acyltransferase 1"
"chr1",78593739,78594310,572,"*","ZF11_Nfiabx_peak_127",83,".",6.85512,11.8621,8.35364,179,"Distal Intergenic",1,78537628,78538173,546,1,"68393","ENSMUST00000125458.1",56111,"ENSMUSG00000012187","Mogat1","monoacylglycerol O-acyltransferase 1"
"chr1",79823157,79823533,377,"*","ZF11_Nfiabx_peak_129",36,".",4.71289,6.75304,3.61141,11,"Promoter (1-2kb)",1,79796845,79821322,24478,2,"20720","ENSMUST00000189793.6",-1835,"ENSMUSG00000026249","Serpine2","serine (or cysteine) peptidase inhibitor, clade E, member 2"
"chr1",79860973,79861773,801,"*","ZF11_Nfiabx_peak_130",73,".",6.42667,10.7808,7.3344,620,"Promoter (<=1kb)",1,79803035,79861180,58146,2,"20720","ENSMUST00000190724.1",0,"ENSMUSG00000026249","Serpine2","serine (or cysteine) peptidase inhibitor, clade E, member 2"
"chr1",80238949,80239224,276,"*","ZF11_Nfiabx_peak_131",83,".",6.85512,11.8621,8.35364,178,"Distal Intergenic",1,80200325,80218473,18149,2,"241128","ENSMUST00000161427.1",-20476,"ENSMUSG00000043230","Fam124b","family with sequence similarity 124, member B"
"chr1",82283108,82283509,402,"*","ZF11_Nfiabx_peak_133",53,".",5.56978,8.70334,5.39692,345,"Intron (ENSMUST00000069799.2/16367, intron 1 of 1)",1,82233101,82291416,58316,2,"16367","ENSMUST00000069799.2",7907,"ENSMUSG00000055980","Irs1","insulin receptor substrate 1"
"chr1",84839376,84839808,433,"*","ZF11_Nfiabx_peak_137",73,".",6.42667,10.7808,7.3344,168,"Promoter (<=1kb)",1,84839841,84900487,60647,1,"66153","ENSMUST00000097672.3",-33,"ENSMUSG00000073633","Fbxo36","F-box protein 36"
"chr1",84963456,84964821,1366,"*","ZF11_Nfiabx_peak_138",138,".",8.99734,17.6322,13.8819,1381,"Exon (ENSMUST00000097671.1/ENSMUST00000097671.1, exon 1 of 1)",1,84905898,84935134,29237,2,"71781","ENSMUST00000027422.6",-28322,"ENSMUSG00000026220","Slc16a14","solute carrier family 16 (monocarboxylic acid transporters), member 14"
"chr1",84984420,84984716,297,"*","ZF11_Nfiabx_peak_140",73,".",6.42667,10.7808,7.3344,249,"Distal Intergenic",1,84905898,84935134,29237,2,"71781","ENSMUST00000027422.6",-49286,"ENSMUSG00000026220","Slc16a14","solute carrier family 16 (monocarboxylic acid transporters), member 14"
"chr1",84991921,84993082,1162,"*","ZF11_Nfiabx_peak_143",73,".",6.42667,10.7808,7.3344,1540,"Exon (ENSMUST00000188363.1/ENSMUST00000188363.1, exon 1 of 3)",1,84905898,84935134,29237,2,"71781","ENSMUST00000027422.6",-56787,"ENSMUSG00000026220","Slc16a14","solute carrier family 16 (monocarboxylic acid transporters), member 14"
"chr1",84993850,84994904,1055,"*","ZF11_Nfiabx_peak_144",138,".",8.99734,17.6322,13.8819,273,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,84905898,84935134,29237,2,"71781","ENSMUST00000027422.6",-58716,"ENSMUSG00000026220","Slc16a14","solute carrier family 16 (monocarboxylic acid transporters), member 14"
"chr1",85075040,85075443,404,"*","ZF11_Nfiabx_peak_162",44,".",5.14134,7.71111,4.48386,134,"Exon (ENSMUST00000186987.1/ENSMUST00000186987.1, exon 3 of 8)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",34006,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85075997,85076393,397,"*","ZF11_Nfiabx_peak_163",44,".",5.14134,7.71111,4.48386,347,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",33056,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85079698,85080015,318,"*","ZF11_Nfiabx_peak_166",83,".",6.85512,11.8621,8.35364,112,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",29434,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85096392,85096736,345,"*","ZF11_Nfiabx_peak_171",73,".",6.42667,10.7808,7.3344,170,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",12713,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85104943,85106050,1108,"*","ZF11_Nfiabx_peak_176",150,".",9.42579,18.8507,15.0624,1183,"Exon (ENSMUST00000162353.7/ENSMUST00000162353.7, exon 1 of 4)",1,85083069,85109449,26381,2,"381287","ENSMUST00000161724.7",3399,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85109558,85110442,885,"*","ZF11_Nfiabx_peak_179",162,".",9.85423,20.0883,16.2653,582,"Promoter (<=1kb)",1,85088407,85109853,21447,2,"381287","ENSMUST00000160792.7",0,"ENSMUSG00000089844","Sp140l1","Sp140 nuclear body protein like 1"
"chr1",85158642,85158867,226,"*","ZF11_Nfiabx_peak_188",94,".",7.28356,12.9693,9.40496,127,"Intron (ENSMUST00000159114.1/ENSMUST00000159114.1, intron 2 of 2)",1,85199613,85203171,3559,1,"665378","ENSMUST00000160058.7",-40746,"ENSMUSG00000079457","Gm7609","predicted pseudogene 7609"
"chr1",85163981,85166091,2111,"*","ZF11_Nfiabx_peak_190",174,".",10.2827,21.3444,17.4888,723,"Exon (ENSMUST00000160802.7/ENSMUST00000160802.7, exon 4 of 6)",1,85199613,85203171,3559,1,"665378","ENSMUST00000160058.7",-33522,"ENSMUSG00000079457","Gm7609","predicted pseudogene 7609"
"chr1",85167028,85167475,448,"*","ZF11_Nfiabx_peak_191",63,".",5.99823,9.72728,6.34853,118,"Intron (ENSMUST00000160802.7/ENSMUST00000160802.7, intron 4 of 5)",1,85199613,85203171,3559,1,"665378","ENSMUST00000160058.7",-32138,"ENSMUSG00000079457","Gm7609","predicted pseudogene 7609"
"chr1",85180524,85180721,198,"*","ZF11_Nfiabx_peak_195",53,".",5.56978,8.70334,5.39692,69,"Exon (ENSMUST00000162896.1/ENSMUST00000162896.1, exon 6 of 13)",1,85199613,85203171,3559,1,"665378","ENSMUST00000160058.7",-18892,"ENSMUSG00000079457","Gm7609","predicted pseudogene 7609"
"chr1",85247467,85248198,732,"*","ZF11_Nfiabx_peak_211",150,".",9.42579,18.8507,15.0624,907,"Intron (ENSMUST00000162347.1/ENSMUST00000162347.1, intron 1 of 1)",1,85241286,85254548,13263,2,"620078","ENSMUST00000161685.7",6350,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85249458,85251511,2054,"*","ZF11_Nfiabx_peak_212",199,".",11.1396,23.9088,19.9918,2301,"Intron (ENSMUST00000162347.1/ENSMUST00000162347.1, intron 1 of 1)",1,85241286,85254548,13263,2,"620078","ENSMUST00000161685.7",3037,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85258788,85261753,2966,"*","ZF11_Nfiabx_peak_215",238,".",12.4249,27.8764,23.8827,1239,"Exon (ENSMUST00000159582.7/620078, exon 2 of 7)",1,85241286,85254548,13263,2,"620078","ENSMUST00000161685.7",-4240,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85287046,85288182,1137,"*","ZF11_Nfiabx_peak_224",104,".",7.71201,14.1013,10.4844,1135,"Intron (ENSMUST00000166777.3/ENSMUST00000166777.3, intron 3 of 4)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-16480,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85289927,85290332,406,"*","ZF11_Nfiabx_peak_226",53,".",5.56978,8.70334,5.39692,239,"Intron (ENSMUST00000166777.3/ENSMUST00000166777.3, intron 3 of 4)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-19361,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85294705,85295309,605,"*","ZF11_Nfiabx_peak_229",83,".",6.85512,11.8621,8.35364,513,"Intron (ENSMUST00000166777.3/ENSMUST00000166777.3, intron 3 of 4)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-24139,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
"chr1",85325273,85325994,722,"*","ZF11_Nfiabx_peak_248",104,".",7.71201,14.1013,10.4844,771,"Intron (ENSMUST00000166777.3/ENSMUST00000166777.3, intron 1 of 4)",1,85246670,85270566,23897,2,"620078","ENSMUST00000064341.8",-54707,"ENSMUSG00000052477","Sp140l2","Sp140 nuclear body protein like 2"
